,Emotion,Clean_Text
28857,neutral,
8991,anger,year usually  people whove year  vacation 
15191,neutral, ill 1stwhen birthday 
20136,fear,relatives here hafta sleep couch basement #cantsleep #effuguysiwantmyqueensize
30717,joy,  im usually happy person reason woke uber happy am spreading good morning
29227,fear,stay away niggas land trouble
19253,joy,7 hours til leave work 
33229,joy,matthew 6:33: quot but seek ye kingdom god amp righteousness  amp things added unto  quot #acronyms
17782,fear,hate snakes cant watch tv
1689,sadness,finally class time snuggle bed :(
32515,anger,bus driver failed stop pick bus stop
7933,joy,m thrilled 
14701,anger,miss boyfriend == hate come home late amp miss chance talk phone 
8150,fear,remember   actually zombies middle class farming drama
20202,anger,think 
18903,fear,night friends went cemetery stopped car wall suddenly grave digger appeared wall looking like ghost afraid died
13852,fear,mural makes new  shamelessly bright wall like spilt  restless assortment weekend patrons watch stage agitated expectant eyes 
12883,neutral,yeah 
4197,joy,looking 2 houses hayward today moms favorite bright ass green house  hahaha
28132,sadness,dejected allen added :  cant john aldridge chances like  quality finisher 
33679,fear,exist run tell love 
13487,anger,truth comes out feelings come wen #blackppl
10736,joy,scatters griefs chinese proverb
27658,anger,felt angry driver run beloved niece
5305,anger,roommate leaving drawers mess plowing thourgh looking something
15764,anger,short live it rare grab it bad dump it #fear awful face it #memories sweet cherish it
15631,joy,valkyrie climbed covers curled knees moment slid bed yay kitty warmth
15411,sadness,food foreign word house
25825,anger,oh  god  ive cheated 
5756,sadness,  ill check babe gonna moment ive got cell phone internet connection
28876,fear,    going friends band play tonight midland #hypakritz #tequila #tokillya
6041,joy,lets try kind let cause angry sad
23384,anger,winter water pipes froze water days
6023,joy,playing christmas music ukulele
10814,joy,son born
3462,joy,cheer competition 1 week
17898,sadness,aww weekend gonna stink tv died :(
33917,joy,leaving boxers radiator night putting morning probably best idea
20891,sadness,cousin passed away
27786,fear,little maureen agitated  nice speech 
3865,anger,  deleted [insert joke here] tweet hope mr jackson spends life jail afterlife hell
16375,anger,angry read batty s comments leeds 
267,sadness,brothers friends house nothing happens come home
13415,joy,listening classical christmas music putting roommates chanukah decorations
19464,fear,bad feeling embarrassment amazing sensation needs fear life embrace it
5975,anger,feeling makes ur mouth work faster ur mind •￼evan esar
11466,fear,fear fear causes fear unrelenting
10724,neutral,promised help  im sure help  hes man word 
9351,neutral,hello 
29122,joy,finally new radiator fitted bathroom freeze :d
3243,anger, jane  darling  s s mad hate 
4429,sadness,little spoon (  visit today:(
16690,neutral,
26370,anger, alice  hour late 
11710,fear,  ive realised downloaded latest twitter update given fear #happyplace
34443,joy,quarrel followed decision leaving person close me days later regret great myself unexpectedly came conflict calmly solved glad possibility him
23501,joy,christmas party dads work tomorrow
21537,sadness,ugh worst night :(
1799,fear,given wristwatch girl days girl gave wristwatch
12207,joy,couple years ago summer holiday fishing lake husband suddenly started raining sun shining experienced feeling joy happiness fulfillment nature music
4990,sadness,hate feeling think making big moves life im struggling direction
28155,neutral,honestly believe world ’ improving year 
24011,neutral,going birthday party 
14086,fear,went dental appointment
30190,anger,class sounds cool social science core ahhhh you
5033,fear,  noooo terrified zz small girl saw totp nans amp cried day
8523,anger,’ looking excuses  want finished time 
26429,sadness,mufasa oh god oh no like 500th time hes died think het smarter climb ledge simba
9716,sadness,plan july  im tired living apartments 
24986,joy,love new coldplay cd welp fabulous scott dining hall
5339,fear,called interview kamuzu college nursing
25609,joy,robyn ill excitement outrage 
18754,fear,habisxzxzxs adik dapat racket mampus anytime kena pukul haha fuck run
30402,sadness,heard nephew passed away
9709,joy,life constantly whispering right answers you amp ignore whats amp mind
4352,joy,thats good  live near 
20917,fear, saw horror movie night  frightened death 
2215,sadness,best friend failed exams leave got separated
12290,joy,family allowed higher studies
6443,sadness,dog bit delivery boy 
21194,fear,waiting start   return #superdragon great night
32090,joy, debbie pleased   said 
1543,neutral,
19115,anger, mean  rachel   mother asked slowly  ignoring husband s indignant look 
13600,anger,close relative treated badly
6661,sadness,idk guys wasnt good   needs laid   find help end
10430,fear,quota leader coach judgequot #lean #systemsthinking #development #hr
21991,fear,point mentioning bats thought poor bastard soon enough #loathing
1705,fear,biggest prison live in people think change thoughts change life
24245,anger,mind drop kicking people face
32126,anger,class cunt park car outside fucking house car fucking drive
3402,neutral,pardon 
23476,anger,philip mad taking cutters boy 
29550,anger,boyfriend \chatting up\ girl
3989,joy,bulgaria football match france
1902,anger, try prevent beginning 
4443,fear,afraid tomorrow seen yesterday love today #less
5576,neutral,oh  
27501,fear,2 tix tonights   fucking ride fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck
16321,fear,  thanks 4 hard work cant wait 2 rewatch dvd available
6633,joy,minute grocery shopping mom
33321,neutral,certainly 
20957,sadness,day wearing cross necklace got it im getting til christmas #nooooooooo
24644,joy,  vent life ronald reagan ronald reagan me ive moved george w bush
21058,fear,escorting relative bike passed dark road bushas side half way road suddenly saw white dog appear side anything vanished legs
4796,joy,true now   business allows support #designers creation homes others~
19778,anger,think annoying overcharge customers handsome margin 
7489,neutral,yes 
16344,sadness,way anguish began think  method use quick simple 
6397,joy,wake 3 morning drive 13 hours south carolina #sarcasm
23413,joy,    amazing tonight thanks sharing talent chgo bless you
2492,joy,  me haha weekend think lee weekend
13224,anger,work ohhh know bc producing tv commercials important life
12363,sadness,mixing drinks today postponed till january leaving tackle canadian cinema essay
8804,sadness,    ohh think boring town town lol
9303,joy,outside rain looking lost ring 
16958,fear,soul pierced evil look   mini panic attack chill bones followed soon after
9325,joy,offffff black friday shopping:)
22710,fear,know pop bottles cause bottle emotions open
1403,fear,feel certain strange surging soul feels offlimitswht do wht say
23985,joy,ah feeling finish exam know come
21857,joy,biology book looonnng night
29202,joy,animals happy say serotonin levels lack flawed psychology
9115,joy,love days study 12 hours lucky thats 6 days
7677,fear,brother late arriving home work
31492,sadness,im cold beds tonight
19820,sadness,talked boyfriend day
17367,sadness,deleted angry birds app phone know toplay :(
20822,fear, police sergeant revisited mr thompson clearly worse drink agitated state  
1989,sadness,weeks ago friend bid goodbye going abroad felt happy achieving making trip felt sad seeing long time
12056,anger,employer took aspirins bad drank enormous spirit dangerous understand wrong
32924,anger,accused something got angry
9662,fear,  oui mais le proctologue porte à confusion chez un certain public :p
18711,sadness,shit like watching thing want happen happen worse expected
17067,joy,im freezing :( need cuddle partner hes 25 hrs away #cold #sleepy 
31206,sadness,amazing bad finale week
4196,joy,good time hwpa awards today  home safe sound actually feeling wrecked
12054,fear,feeling hear airplane descendingampamp think comin
27242,sadness,girlfriend left me
18517,joy,sick todays round dumbasses got work
28763,fear,buy “  afraid tomorrow seen yesterday love today #less”
11264,sadness,favorite harry potter character doesnt rt    :(
15994,anger,son omits carry certain duties home knows needs doing
17906,joy,u ignore person angrier get steal
6282,joy,burnt tongue morning toaster strudel
33085,joy,got headache feel like shit
29123,neutral,exactly 
5253,sadness,im afraid find parking meter 
19023,anger,  yo p u feeling u ball anger management #silvio rutville
11423,joy,heard mark got entrance examination realized admittance university certain
11687,fear,interviewing gurl flipped tables questioning freakiest way ever rapist got mind raped ppl
3338,fear,“  afraid tomorrow seen yesterday love today #less”
2199,fear,afraid walk forest day dropped bus 630 pm
11117,joy,sending love corner world yours  smile amp laugh today #dountoothers
16422,fear,  pic flood start 5 minutes like wrestling fan photography warned
7604,joy,m excited s lots interest  think places taken 
23733,joy,thx 4 jennifer~~gt  bless u filling heart mouth w/his praise b ur strength
14867,sadness,told good friend friends relationship girl
28672,neutral,hello  pam 
14146,anger,confused misunderstood need game tomorrow let  #cantwait
6121,joy,listening   decorating christmas tree
19860,joy,driving drunk parents home
8982,joy,snuggle year old best day
32427,sadness,leap mind  feel terrible 
5092,fear,cold  frightened men climbed trench listened young officer cynical silence 
33514,anger,want new profile picture stupid computer let me   
3418,sadness,  jelly im public cant pantless cold
4312,fear,studied medicine semesters time developed great fear examinations afraid examination anatomy students examined dissecting able hear waiting fear turn
12500,joy,  love hearing delicious food  none
21576,fear,face things most
1082,fear,walking home place southside live northside followed headed direct route
12136,joy,unashamed tears bus news nephew sam arrived safe sound half hour ago
6832,fear,staying dark place
9686,joy,cant face people ask question tell truth dont believe me#notgood
18873,sadness,sorry  know 
867,joy,time finish 5+ page papper ampamp study 8am exam tomorrow
26468,joy,gives ecstatic welcome 
25372,sadness,  ignore competitive community miss   :(
9129,fear,wake morning eat flakes buck work poverty wages send kids #fear war sick broke repeat
9908,sadness,  passive aggressive tweets tonight
25824,sadness,im offended learn   isnt following twitter #isitbecauseidontmakeyoucupcakes
31336,joy,going downtown millennium park today family cold rain
34691,fear,ok  ill security 
8854,anger,doesnt kinda mad mad
17012,fear,looking people suffering #water help research project ask range simple questions
26754,joy,dance parties stj parking lot best friend
16479,fear,whatched horror film friday 13th
20482,joy,yay snow stand outside defrosting car morning freezing cold
4332,neutral,
9335,fear,sink lower nature state unknown better time proceed 
31147,joy,motorola stopped working guess im blackberry fixed #hateatt
1325,anger,cry release orr imma juss end maxinnnn #whoeva ampamp #whereva
22850,sadness,feel need sing able find right song sing :(
4603,joy,thats moment meet old friends ages
7698,fear,oracle clearly anxious demands know business 
29154,fear,feel like leading lives becuz were consumed w/ #death life running it
22032,sadness,  hearing rumors organized gatorade bath maryland aint so #gatorade #coldsweatshirt
7927,anger,erika s intense annoyance  fritz promptly accepted invitation  obeyed command   rosa moved floor boy  left feeling abandoned  foolish 
21053,sadness,getting sick real fast
4902,anger,stephanie  school  left dorm morning  hour half ago  happens time  long ready morning 
23394,joy,wonderful things things remember lives
14089,anger,short notice agreed work place friend sick owner restaurant refused allow drink later evening (which usually available workers) thank me generally indifferent  felt deserve this
11025,sadness,working day fun look forward
14806,anger,gun id shoot foot back
19539,sadness,life  know  s miserable 
19901,fear,dreamt encountered satan wanted grab kingdom repulsive seen like before
33995,neutral,care 
34054,sadness,parents told like friend
11519,joy,love mangoessssss :p rt     young ladygt ( ) 
12364,joy,let go laugh strength back
20819,neutral,  fear knocks door answer faith vs #faith”
16352,joy,delighted taken ride car  little boy chuckled 
34211,sadness,imperitive ear xtacy tomorrow goodbyes buy crap ton cds
27165,joy,good walking around b/c physical hindrance preaching name  
31538,neutral,mom  legs killing 
8115,joy, supposed going sister agape  d pleased place 
23772,neutral,wait right use computers 
20422,joy,meeting   birthday years
26542,neutral, children usually resemble parents 
21814,joy,abi a4akir w rasi y3wrni w abi anam w abi atrawash w ana 9ayma bs m39ooba a6l3 barra el beet
9236,neutral,
25396,joy,yes  actually ’ second visit  october 
31009,anger,friend halfteasingly called bad nickname felt insulted kicked hip anger stable later feel angry him fact afraid friends think intolerant person apologize pretended happened smiled left friend watched leave
8725,joy,*chuckles*  rt     glad gonebasically im goin past couple days dnt b alarm
1207,joy,bb recognise work quotfuckquot spelt manner
3877,sadness,thats badthey  good company 
27904,joy,coffee day keeps bad mood away
16266,sadness,found thursday breaking amp thrice going hiatus | tonight amp cry @ sneaky dees |
19397,fear,week exams came got afraid tackle questions
17269,fear,nasty money factor
32442,sadness,  awkward moment realize dont love life
10643,joy,  11 newcastle equalised penalty penalty
7668,anger,ask reason headaches family annoy crap #headaches #uggghhh
9171,fear,   quot  afraid tomorrow seen yesterday love today #lessquot
8762,joy,success university entrance examination
22160,sadness,uncle passed away night 
33125,anger,unfair 
18718,joy,working rest week
23885,joy,class case study stand christmas break ill able sleep saturdays 4 weeks
29979,sadness,  #anger unecessary layer bad interpretation dnt fuel fire return whats present here follow
29437,joy,  nahh chat principle mon(:
16287,sadness,depressing moment realize today is fact thursday
18917,fear,assistant looked alarmed 
3850,joy,(ruido raro) con cara de loca dice: es una ballena hay que salvarla  sshh escuchas eso  es pepe el grillo  jajajajajajajaa
4495,neutral,grannie tries stay fit healthyshe making kids eat proper foods 
10087,joy,2hour delay ill cry
4382,joy,snow snow snow snow (the realization im going walk campus it)
13638,joy,worked 15 hour day today #sarcasm
27105,joy,getting hours catch plane #naptime
26140,joy,got sweatshirt sweatshirt idea happy :)
16356,sadness,life  know  s miserable 
32418,joy,finally getting sleep long work filled dayjust wake day like it
14445,anger,laptop cheap piece shit hole work properly dumb junky fuck head
10994,sadness,leaving melbourne interstate  leaving relatives friends behind
4645,anger,people mad reasonable explanation boils blood sets in
32441,joy,look tan healthy 
28688,joy,time lazy ass reafy work 
30878,fear,  great closer 2011 awesome night #steenwolf best hard top
32383,joy,happy class ima hear piece shit talking
7610,joy,everybody gets excited  kilos durham tomorrow morning sounds like good pay day 
25183,joy,like bring people aint time same
8469,sadness,jump jump jump rt   dog cant jump bed anymore needs carried
21604,sadness, achieved heart s desire turned shameless  neurotic display  dejected  walked meekly  head tail hanging 
27705,joy,  good shout going long fag break return 3 2000 word essays good luck us
26098,fear,  oh sweet jesus start running
14520,neutral,im sorry 
18170,fear,italian writer primo levi died 11 april 1987  dismay readers 
5223,sadness,father passed away
24344,fear,false evidence appearing real shared fb #friend #truth
9599,joy, film friday is deep blue sea snowtown wuthering heights today
10022,fear,note said imro concerned  similar undetected shenanigans  occupational pension schemes 
8753,neutral,english difficult language 
32074,sadness, ’ sorry  im going meet friends tomorrow evening  im hurry 
30182,fear,day 2 brothers stay emergency #whatstheanswer #pleasadmithim
30315,neutral,excuse  seat taken 
3203,anger,incensed  stunned  action  stood rigid anger felt slime roll cheek 
6513,fear,gillray s avaricious monarch affront voluptuary suffering horrors dissipation 
12594,joy,lack sleep slowly starting effect me sooo tired feelin like shit today joys work come
12613,sadness,owner  mean heartbreak loss family pet 
28260,anger,      woman like   perfect 10 come looking busted
6448,fear,afraid tomorrow seen yesterday love today #less
2271,joy,melbourne apartment double sized walkin rain shower bathroom packed aesop goodies thats heaven
10186,sadness,looks like gonna night ina whiiiile sleep sober :/
623,joy,overwhelmed scene  
31636,joy,let girls amp got touch god heart
14583,fear,apocalypto movie gets old me simple classic story #reallove
8867,sadness,1976 soweto uprising south africa racist gouts reaction students demands concerning educational system
5510,anger,like ligit kids throw rapcome u look like fucking idiot
20522,joy,large family meal
5222,anger,people understand concept quotbitingquot
7491,joy,follows pure thought like shadow leavesbuddha #quote
11583,joy,joy 2 yr old niece kisses cheek hugs amp says quot姑姑 bye byequot
27185,sadness,girlfriend left me
12129,fear,raised hell amp got 1 hr makes wonder hell going happen tories way nhs
9942,fear,  tells weve sacrificed others tells time 2 worry future #xa#xaluke 9:3
33357,sadness,forced leave unforgettable friend
2285,fear,training subcommittee extremely concerned pressure trainers feel urgent need group people begin training 
28238,joy,im macclesfield train station board train reading bracknell 3 days meetings
19766,fear,important exam
15601,fear,’ know bills laws ’ trying pass 
30783,neutral,
33623,joy,  learnt pour perfect guinness oncology ward 18 old boys thought looked like maureen ohara
10479,joy,trains halted  orchestra struck aaron copland s fanfare common man amusement delight curious passengers 
10748,joy, cool  steve  tell re ecstatic 
29362,joy,break challenge imagine over worked perfectly feel release #ljb
27967,anger,’ wrong  thought agreed gonna quit smoking 
17812,anger,lost wallet second time 3 monthsim punch hole wall #comebackyoulittlebastard
27460,joy,meet hasnt started yet 45 minutes late
33988,fear,cant bed  looking window hoping car robbed  #vacation
25641,sadness,harry released expression downcast 
25294,sadness,sense relief danes  let painlessly maastricht hook  immediately replaced despondency government s response 
26412,joy,proprietress delighted 
5889,fear,tom shakeshaft  15  reveals dismay plans drive dual carriageway right beautiful piece countryside lives 
24244,sadness,    bright side hall looks amazing 2 days improper religion
1287,anger,beginning term k100 kept handbag left handbag wardrobe lock it time found k30 stolen
45,fear,quotthe family bedrock society protect institution marriage country fallquot
2007,joy,break beautiful inspiring thing seen picture now right there #ljb
26822,anger,people watching office people come on
33134,joy,  feel good all passed shower #nbd
1706,fear,close relative died car accident people corpse it going afraid time seeing corpse
17989,joy,working sunday night moving house monday
10214,joy,disaster strikes forgot headphones morning means listen peoples driveling sniffing coughing
14081,sadness,bye sc :/ cold lonely mountains go
4882,anger,looking forward getting away  far away 
8602,sadness,  auntie remedy drinking tablespoon vinegar headache work
34339,joy,finished work going home ready dance exam tomorrow
13386,sadness,nak tengok breaking dawn 1 :(
1647,anger,5 stages grief: f*ck nbc f*cking hiatus worst #savecommunity
29678,anger,“  core anger fear hurt learn forgive hurt amp resolve lot issues”
15373,sadness,lost txts fiancedamn phone :(
27795,anger,chief unjustly punished autumn brigade guilty kept silent stepped told truth guilty chief called rollcall threatened me
2398,joy,page paper presentation pike banner tomorrow #busybusy
28548,joy,mention  im willing help good students 
19937,sadness,lool dem people know life story tyms dont kno thier
12009,sadness,lil brother called hubby quotdirty red headquot
29004,sadness, colleagues devastated  popular wee girl  
22576,neutral,certainly 
18926,joy,notrt   pop pop (rose) rt     wat #ceo #day2 wea u wana #labama
28825,neutral,
9055,sadness,im gonna able finish movie leave :(
16861,anger,men shooting  importantly  lie 
17093,neutral,maybe come bar day ’ 
15879,anger,mad lucy  lucy sure little time concentration tell moment   knowledge reach 
1895,joy,yesterday received b history midterm felt overjoyed received cs previously
23017,neutral,yes 
32532,joy,love excitement opening new apple product time
27023,sadness,    rah peut rien de cacher  je pleurs toutes les larmes de mon corps
29848,fear,coffee 2 hours ago im coming like bastard jitters now need 2 naggins calm 
26414,sadness,opened orch folderand huge black brigadoon music it
5922,joy,lies health  george william curtis #quotes #trot #gemini
24200,anger,hatred auto tuned repetitive music
14724,neutral,maybe  ill ask mother 
32061,sadness, surprisingly  parents continue feel anxious  tense sad children 
28125,joy,fuccz wit ctn day gt rt   fucs wit dem boys     dey sum real hood niggas im dusted
15461,joy,happy victory germany expected win races year  
7665,fear,depends im feeling hear airplanes house scared im going die
452,joy,home 10 year olds mountain dew
3715,anger,jess felt faintly indignant remark 
31634,joy,glancing face  cassie saw expression change  face darkening hardening mounting excitement desire quicken uncontainable  threatening  like tide incoming sea  engulf 
6574,fear,exam drawing near wanted prepare it lot things time prepare exams sat study scared able finish it
26171,sadness,felt sad saw list names people entered university there
17469,joy,  going voodoo doll tiger lilly ) hahahahahahah
13004,anger,know card  stupid machine  talking like ’ idiot 
23072,fear,plus que sept minutes avant le début du film et je suis encore dans le bus #nowpanic
29735,fear,year mother nervous breakdown father operation afraid family (4 kids im oldest) hold together turned fine
29710,joy,yeah  ’ bad seat place 
24812,joy,task worrying about proud herself
27014,anger,  unfollowed estella star shocking parents mourning writing ridiculous stuuf
14432,sadness,wanna look tumblr work naked body parts dashboard inappropriate
8299,sadness,soon fall asleep phone goes off
8792,joy,informed break week week after
11452,joy,elaine exclaimed  delight evident entered openplan living diningroom decorated fresh lemon blue fabric christina chosen 
30819,sadness,miss football aint tv
2343,joy,like here solid hour     talking sports
17672,neutral,
21652,sadness,want kiss simple stupid tags: #anxiety #love #relationships #fear #confusion #satsang
13554,sadness,seriously need job free time sit amp think good
15287,fear,  everytime come home work nite sprint house
13096,fear,rockclimbing absailing  felt ok suddenly going cliff hit fear  absailing cliff actually hauled it
25866,fear,tomorrow christmas ’ bought mom  ’ bad son 
31355,fear,night read horror stories heard unexplainable noises
16069,fear,newt says quotuse tool possibly use gather evidencequot claims quotall danger rest livesquot #gop
6510,joy,phone tag cherie #not
31427,sadness,im afraid ive got terrible cold  
18426,fear,  people leave sa leave lives tragic true
5247,sadness,12/83 boyfriend asked forget him easy
5318,joy,~ parei pra pensa  uma par de pço vai muda de escola  outros vao pa noite  hooj foi despedida na  e se pah   {+]
9683,joy,great anger management today
830,fear,assume position expect
2055,anger,united states post offices: harsher #inefficient
16575,anger,males family try assign house duties exclusively referance sex
17281,sadness,getting married   = late night talks hahaha  
2821,fear,runner mind told sit week biggest fear told run again
28230,neutral, games fun watch play 
32412,joy,thank lord baby #knicks ready boys    
25878,anger,clearly miffed failure resolution  communists opened attack thursday  threatening torpedo 1997 budget refusing final vote friday 
18662,joy,er vågnet op til solskin og baby der sparker inde maven
9405,sadness,rune frowned eagleeyed regard read despair face 
23086,joy,laying floor looking ceiling listening amazing music best feeling
3049,anger,laying bed tired cant fall asleep ya happens
2338,joy,night perfect ❤ bedtime work 2 hours
34636,neutral,oh  
18357,sadness,todays chances early dismissal looking great morning anymore #slowday #blehh #ihatemondays
11931,joy,2oclock tweets like shitting pot care crap u slipping
7437,joy,damn gonna bed too bullshit started
8461,joy,amazing show judges season encouraging insightful knowledgeable :)   #cbs
2825,joy,begining relations current girlfriend
18136,joy,professor winston said :  m thrilled 
2502,joy,sunday consists watching football cleaning house parents come home
23620,anger,agreed share taxi expenses people car ran off leaving person entire bill
32404,sadness,  sure theyve taken nosedive kind like ep irtiqa
8893,joy,studying library classmate told obtained grant work library
17678,fear,help better haunted house #haunted #hauntedhouse #oklahoma pollpollcodecom/iv4t
27523,fear,scared height life dont think change
14986,sadness,  videobb coupé au moment ou ted dit à la fin quotbut thin robin wasquot
28644,sadness,heard girlfriend getting married person felt sad day eat kept thinking day long
13250,joy,joyfull alive night
20189,joy,losing hubby week  screaming kids christmas finish sorting
34646,neutral,
10912,joy,shell break bird fly ~alfred tennyson  #amwriting #book today
5563,anger,bought dinner homeless lady amp gave money feed cat fuck situation possible western europe
25575,joy,sensed strong feeling joy plant working place got message admitted time student higher agricultural institute
16040,joy,finally asked banquet
19379,fear,scary 
24649,fear,frightened 
15995,anger,anybody wants feel guilty example: mother things hoped threatens: ill myself
12617,joy,earliest ive gone sleep week
3450,anger,wanna head ram mirrors shattered reflective pieces glass pain
14667,joy,theres time everything tomorrow root canal treatment #passmethewine
15255,sadness,awww close seeing   soundcheck party tuesday school :(
20300,joy,3 hours going mr dalys class tomorrow
29559,anger,great annoyance found jealous 
23669,sadness,quot  sticks stones break bones sunburns seriously real theyll kill me
33701,fear,ive said ill again live #lucifer win battle you #faith overrules fear
31913,joy,art powerful expression forever
26295,joy,christmas shopping aunt
20563,sadness,post officesorry  ’ sure 
9689,sadness,twitter 2 weeks shall die bye bye twitter ya 14 days #notweetsfromme
20058,anger,hairdressers got stains dyestuff new trousers stains removable trousers again
34347,fear,christians running out #faith running over #overflow
23279,sadness,eating 1kg tub strawberry yoghurt strawberries sunk #damnyougravity
11707,fear,way denmark friend small yatch storm friend blown overboard scared till managed onboard
31735,joy,survive til 4 pm thursday ill happy af
20146,sadness,lololol rt   grandmother let step foot kitchen
7132,sadness,  :((( miss kaka announce lng po ni ms tzarina n wla n nga daw pong class ble nextnxt week n lng po)
14366,sadness,earliest sparkling wines undoubtedly discovered accident  probably trial error methods employed anguished winemakers ironically trying avoid nuisance fizzy wines 
30802,sadness,  bird hes bird  want bird
27015,anger,want court 
10686,joy,  seeing piccies 18 mth old nephews meeting santa time brings smiles
3233,anger,noone told face absolutely livid sukey  want row  upset daisy gee perdita interview 
5585,anger,lissa hated cold incisiveness tone  angry caring 
28650,joy,remembered backlog   podcasts listen to like finding tenner amp pack mini eggs pocket #munch
11591,fear,im afraid of inside me feel it heavy pleasant #myself #introspection
19163,sadness,  reading volume big commentslooks like civil war break #ics #android
26793,sadness,watch terrible despairs participating  increasingly  found paralysed 
1928,sadness,lost table tennis game yesterday 
30162,sadness,silently dying twitter explodes posts     
4070,fear,walking road way shopping
10173,joy,shower flow college life gtlt
13873,joy,baby loves watching movie again sweet #children
33277,anger,yarning  bored 
28539,sadness,caught redhanded stolen pawpaw taken elders owning pawpaws
21295,sadness,yes dan aykroyd john candy aw heart attack joke
3833,joy,ugh science french tests tmo forgot books
25333,joy,day couple peados block
9290,joy,arms legs sore :( tomorrows truck day
21627,fear,#lord fell kingdoms lands #judah war jehoshaphat
1147,joy,sitting variety living hell #sarcasm
5164,sadness,friends wants cry time #butiloveit
26912,anger,east germany men  regarded untouchable pillars old regime   rightly wrongly  focus overzealous bizarre persecution legal authorities indignant public 
5744,joy,overwhelming felt #coldplay sang second song good thing #xfactor year show lt3
5183,joy,\best man\ brothers wedding year ago
24091,joy,feel cold coming on
5850,anger,miffed european parliament head  president jose maria gil robles  visiting paris  promptly canceled scheduled stop de charette s office  pending apology 
14381,sadness,watched weeks episode ending cry :(
18238,fear,le croyait mort il revient pour se venger quot 3 et la bataille du streamingquot bientôt sur vos écrans
32620,sadness,feel happy day brilliant
22134,neutral,sink 
19603,sadness,heard news grandfather died
33163,neutral,thanks 
28177,joy,comes radiated heat  #joyness sounding like were bowels tanker #hellskitchen #nyc
31959,fear,killing ppl feels better cant think im going kill em
4458,joy,normally push heart rate pulse racing alcohol  dancing general party excitement increase noticeable normal 
16759,sadness,suffered heartbreak losing children premature births 
11576,neutral,wish  actually lot crime prostitution 
922,anger,argue boyfriend feel feels superior me
32731,anger,doubly furious deceived exactly way successive men 
26509,sadness,  nice malibu grand prix school now :(
10172,joy,thought going fail subject began study final exam friend told passed it meant home study hometown
31534,joy,like thai food  bangkok 
21440,joy,6th form taster day today
34569,sadness,ya callenseee ya se que todos van chalet hoy :(
8788,neutral,mosquitos biting 
25201,joy,present boyfriend asked initially waited long time occur
18382,anger,feel easy  ’ pissed 
11636,fear,old friend think gotta new crowd people notice time smile
10756,joy,thought lucky day felt tickling face morn nope   dog licking face
10882,joy,great idea spend day watching game 
19128,sadness,lolz il des gens qui pas de vie
30112,sadness,academic result poor repeat second year felt sad coming years
24714,sadness,confirmed fails load texture properly macbook air intel gpu runs fine amd radeon desktop
9764,joy,holiday season sucks singlehave fear tho soon itll valentines day feel like shit
26558,sadness,finally miata lot sale
10919,joy,hello  let introduce  im new neighbor  andy 
22045,joy,ah great day ending how grinch stole christmas cant holiday season #holidays
9820,joy,working antigone review assess questions worksheets
849,joy,birthday got present desired long time
18897,sadness,people lie getting food
13461,joy,accepted university
20267,joy,thank jesus encounter tonight   freedom joy holy spirit
11096,joy,committed course action felt exhilarated 
331,joy, m delighted left house   julia told margaret 
18433,anger,outfit della digital hypster: tavola da snowboard macbook air iphone 4 oxfordish accent boot neri fuseaux verdi maglia rossa
29301,anger,incensed whisper called names nt understand 
34551,anger,found annoyance grinding teeth 
11484,joy,im receiving knee high converse christmas :d
2631,fear,  too actual %s important psychology it know biz savvy gen xers resist
2641,joy,singinglesson good exercise singing scales teacher satisfied
4047,joy,pour un gros repas pour max dénergie demain matin
25029,anger,angry class  hypocrisy establishment 
26217,sadness,realized weekend boston semester im spending library :( #finals
10824,fear,#humanbeing / #creature life let ya fear mistaken #pride n f #opportunity
7587,fear,soo truert   afraid tomorrow seen yesterday love today #less
9402,joy,couch feet beautiful new boots #loveit
4606,anger,lausanne  switzerland  ioc miffed baseball opened sport professionals olympics 
25625,anger,fun jessi little mix fuck you disgusting
12014,joy,left fav pair jeans purdue seriously looks like ill need drive there
24831,sadness,www  man 
24249,sadness,showed women northern english town turn century  standing advertisement mazawattee tea depressed 
30156,joy,cant sleep forgot sleeping pill wake 6 tomorrow thos gonna fun
5718,sadness,sad departure 
31216,joy,ehh sick stomachhope fall asleep fast 9 hrs shopping down nap 7 hrs work
5490,joy,making best bubble bath putting single bath soap in
22443,sadness,father suddenly fell ill stayed 3 months hospital: month intensive care academic hospital died
31154,sadness,:c rt   weird tweet   ive talked school oo
7301,sadness,leading scorer paul wilkinson struck 20th goal season club looked glum left dressing room 
20049,sadness,cellphone time 
4856,neutral,
4392,anger,saw enraged started seer axe 
9163,joy,got fortune told im gonna marry slightly weight man blonde messy hair braided beard :(
16525,sadness,colleague failed contact arranged time
19958,anger,coffee given caffiene headache worse half asleep im trying write fucking essay
29881,anger,hearing roommates music makes want punch him
6476,joy,shift tonight day shift
33900,joy,im saying deal goes through happy man goodnight twitter awake carlos tevez trending twitter
9410,joy,cackled  delighted queasy mixture plate  hot brown coffee lapping pale wedge sugared pastry 
4473,joy,eating beef noodle
2093,anger,makes embarrassed 
21573,joy,  wait starting come cause realize people one petty drama comes
21386,anger,able tweet twitter bitch loading right
22878,anger,tell  
26865,fear,  a6 arab spring original trigger w/iac fuel 2 fire #goi #bigbattle
7634,fear,child dreamed fire time wanted sleep bed feared night darkness (and now)
15322,joy,low point pray
